"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour","week_day"
"277","Fuera CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",698,"2",0,0,0,"18","2"
"278","Dentro CETRAM","male","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",1,"5","Trolebus","Peseros","Van","Azteca","Mexipuerto","15",614,"7",0,0,0,"17","4"
"279","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","3 to 4","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",363,"6",0,0,0,"15","1"
"280","Fuera CETRAM","male","25-44","Licenciatura","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","3",3,"1","BRT","Peseros","Bus","El Rosario","El Rosario","35",756,"6",0,0,0,"13","2"
"281","Fuera CETRAM","male","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",2,"5","Trolebus","BRT","Van","Azteca","Heroes Tecamec","15",896,"6",0,0,0,"13","4"
"282","Fuera CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",924,"5",0,0,0,"14","2"
"283","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","3",4,"5","Metro","BRT","Van","Azteca","Heroes Tecamec","15",813,"5",0,0,0,"13","2"
"284","Dentro CETRAM","male","0-17","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Estudio","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",797,"0",0,0,0,"13","4"
"285","Dentro CETRAM","male","18-24","Secundaria","Tecamec","Ecatepec de Morelos","None","Otro","5",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1018,"2",0,0,0,"16","1"
"286","Fuera CETRAM","male","65+","Licenciatura","Alvaro Obregon","Tlalnepantla de Baz","1 to 2","Trabajo","1",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",546,"6",0,0,0,"17","7"
"287","Fuera CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","3",1,"5","BRT","Taxi","Van","Azteca","Mexipuerto","15",782,"5",0,0,0,"17","6"
"288","Dentro CETRAM","male","25-44","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","1 to 2","Trabajo","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",645,"6",0,0,0,"18","7"
"289","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",3,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",758,"5",0,0,0,"18","2"
"290","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",483,"9",0,0,0,"17","5"
"291","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Miguel Hidalgo","None","Trabajo","2",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",883,"2",0,0,0,"14","7"
"292","Fuera CETRAM","male","45-64","Secundaria","Tecamec","Tecamec","None","Compra","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",965,"2",0,0,0,"13","2"
"293","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","1",4,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1050,"6",0,0,0,"16","5"
"294","Fuera CETRAM","male","18-24","Preparatoria","Coacalco de Berriozal","Coacalco de Berriozal","None","Recreacion","3",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1043,"2",0,0,0,"17","5"
"295","Fuera CETRAM","male","25-44","Preparatoria","Benito Juarez","Atizapan de Zaragoza","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1051,"2",0,0,0,"16","5"
"296","Fuera CETRAM","male","25-44","Preparatoria","Cuauhtemoc","Azcapotzalco","None","Trabajo","3",4,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",159,"1",0,0,0,"13","2"
"297","Fuera CETRAM","male","45-64","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","1",1,"5","Taxi","Trolebus","Van","El Rosario","El Rosario","15",876,"5",0,0,0,"13","4"
"298","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","1 to 2","Compra","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",134,"1",0,0,0,"17","7"
"299","Fuera CETRAM","male","18-24","Preparatoria","Nicolas Romero","Azcapotzalco","None","Recreacion","5",4,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",201,"1",0,0,0,"19","7"
"300","Fuera CETRAM","male","18-24","Licenciatura","Azcapotzalco","Azcapotzalco","None","Trabajo","3",3,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",219,"1",0,0,0,"17","7"
"301","Dentro CETRAM","male","25-44","Primaria","Cuautitlan Izcalli","Tiahuac","1 to 2","Recreacion","3",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",229,"1",0,0,0,"14","1"
"302","Fuera CETRAM","male","65+","Primaria","Atizapan de Zaragoza","Azcapotzalco","None","Otro","5",3,"5","Taxi","Peseros","Bus","El Rosario","Tacuba","35",803,"6",0,0,0,"14","4"
"303","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tlalnepantla de Baz","None","Trabajo","3",4,"4","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",459,"4",0,0,0,"13","4"
"304","Dentro CETRAM","male","0-17","Primaria","Tecamec","Ecatepec de Morelos","1 to 2","Recreacion","3",5,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",980,"2",0,0,0,"13","6"
"305","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","None","Estudio","4",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",213,"1",0,0,0,"17","7"
"306","Fuera CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",1,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",774,"5",0,0,0,"14","5"
"307","Dentro CETRAM","male","45-64","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","1",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",448,"9",0,0,0,"15","1"
"309","Fuera CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"14","5"
"310","Fuera CETRAM","male","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Compra","3",3,"5","Trolebus","Taxi","Van","Azteca","Heroes Tecamec","15",982,"2",0,0,0,"13","2"
"311","Fuera CETRAM","male","18-24","Licenciatura","Tecamec","Nezahualcoyotl","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",933,"5",0,0,0,"14","4"
"312","Dentro CETRAM","male","0-17","Secundaria","Tecamec","Ecatepec de Morelos","None","Otro","2",2,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"18","6"
"313","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","3",5,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",414,"2",0,0,0,"13","6"
"314","Fuera CETRAM","male","45-64","Secundaria","Tecamec","Ecatepec de Morelos","None","Trabajo","1",3,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",1030,"2",0,0,0,"17","4"
"315","Dentro CETRAM","male","18-24","Licenciatura","Atizapan de Zaragoza","Tlalpan","None","Estudio","3",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",133,"1",0,0,0,"18","3"
"316","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","3",4,"4","Metro","Taxi","Van","Azteca","Mexipuerto","15",1033,"6",0,0,0,"13","3"
"317","Fuera CETRAM","male","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","None","Trabajo","3",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1045,"2",0,0,0,"17","5"
"318","Fuera CETRAM","male","25-44","Primaria","Nicolas Romero","Tlalnepantla de Baz","None","Trabajo","3",3,"5","Taxi","Peseros","Bus","El Rosario","Tacuba","35",746,"2",0,0,0,"14","4"
"319","Fuera CETRAM","male","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",1057,"0",0,0,0,"12","5"
"320","Fuera CETRAM","male","45-64","Sin estudios","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","3",1,"3","Peseros","Trolebus","Van","Azteca","Mexipuerto","15",804,"6",0,0,0,"14","2"
"321","Dentro CETRAM","male","0-17","Primaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","4",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",669,"5",0,0,0,"15","4"
"322","Fuera CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","2",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",951,"2",0,0,0,"14","3"
"323","Fuera CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Nezahualcoyotl","1 to 2","Otro","3",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",626,"5",0,0,0,"14","6"
"324","Dentro CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",986,"2",0,0,0,"14","1"
"325","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","3",2,"4","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",507,"9",0,0,0,"16","5"
"326","Fuera CETRAM","male","25-44","Licenciatura","Nezahualcoyotl","Ecatepec de Morelos","None","Trabajo","1",1,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",499,"5",0,0,0,"13","2"
"327","Fuera CETRAM","male","18-24","Secundaria","Tecamec","Ecatepec de Morelos","1 to 2","Compra","3",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",921,"6",0,0,0,"14","2"
"328","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Tecamec","None","Trabajo","4",4,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",782,"5",0,0,0,"17","6"
"329","Dentro CETRAM","male","25-44","Preparatoria","Tultitlan","Azcapotzalco","None","Trabajo","2",5,"4","Trolebus","Peseros","Van","El Rosario","El Rosario","15",171,"1",0,0,0,"18","3"
"330","Fuera CETRAM","male","18-24","Licenciatura","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Estudio","3",5,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",756,"6",0,0,0,"13","2"
"331","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","3",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",1056,"0",0,0,0,"13","6"
"332","Fuera CETRAM","male","0-17","Preparatoria","Atizapan de Zaragoza","Miguel Hidalgo","None","Trabajo","4",4,"5","Trolebus","Peseros","Bus","El Rosario","Tacuba","35",644,"6",0,0,0,"14","4"
"333","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",482,"9",0,0,0,"14","3"
"334","Fuera CETRAM","male","25-44","Primaria","Atizapan de Zaragoza","Otro","None","Trabajo","3",1,"5","Peseros","Peseros","Bus","El Rosario","El Rosario","35",776,"6",0,0,0,"17","4"
"335","Fuera CETRAM","male","25-44","Secundaria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Otro","3",5,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",541,"6",0,0,0,"17","6"
"336","Fuera CETRAM","male","25-44","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","None","Trabajo","3",5,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",234,"1",0,0,0,"12","2"
"337","Dentro CETRAM","male","25-44","Licenciatura","Gustavo A. Madero","Gustavo A. Madero","None","Otro","4",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1056,"0",0,0,0,"14","6"
"338","Fuera CETRAM","male","45-64","Secundaria","Nicolas Romero","Otro","None","Trabajo","3",3,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",720,"6",0,0,0,"18","4"
"339","Fuera CETRAM","male","18-24","Preparatoria","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Trabajo","3",4,"1","Taxi","Peseros","Bus","El Rosario","El Rosario","35",666,"6",0,0,0,"14","7"
"340","Dentro CETRAM","male","45-64","Preparatoria","Tecamec","Gustavo A. Madero","1 to 2","Trabajo","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",955,"2",0,0,0,"14","6"
"341","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","4",3,"4","Taxi","Peseros","Van","Azteca","Mexipuerto","15",796,"2",0,0,0,"14","1"
"342","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Compra","3",3,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",680,"5",0,0,0,"13","5"
"343","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",510,"9",0,0,0,"17","5"
"344","Fuera CETRAM","male","45-64","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","4",5,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",64,"1",0,0,0,"16","6"
"345","Dentro CETRAM","male","18-24","Licenciatura","Otro","Otro","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",849,"6",0,0,0,"13","5"
"346","Fuera CETRAM","male","45-64","Preparatoria","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Trabajo","3",3,"5","Trolebus","Peseros","Van","Azteca","Mexipuerto","15",1053,"5",0,0,0,"17","5"
"347","Fuera CETRAM","male","0-17","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","2",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",735,"5",0,0,0,"13","3"
"348","Dentro CETRAM","male","25-44","Preparatoria","Zumpango","Azcapotzalco","None","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",330,"2",0,0,0,"15","1"
"349","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","2",3,"2","Taxi","Peseros","Van","Azteca","Mexipuerto","15",834,"2",0,0,0,"16","1"
"350","Fuera CETRAM","male","25-44","Secundaria","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Otro","1",1,"5","Trolebus","Metro","Bus","El Rosario","Tacuba","35",713,"2",0,0,0,"14","4"
"351","Dentro CETRAM","male","18-24","Preparatoria","Venustiano Carranza","Atizapan de Zaragoza","None","Trabajo","3",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"352","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","3",1,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",1057,"0",0,0,0,"12","5"
"353","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",609,"7",0,0,0,"15","5"
"354","Fuera CETRAM","male","45-64","Primaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","4",4,"3","Metro","Peseros","Van","Azteca","Mexipuerto","15",1052,"6",0,0,0,"16","5"
"356","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",2,"5","Taxi","Trolebus","Van","Azteca","Mexipuerto","15",371,"2",0,0,0,"17","5"
"357","Fuera CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Estudio","3",3,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",470,"9",0,0,0,"12","5"
"358","Dentro CETRAM","male","25-44","Preparatoria","Iztapalapa","Atizapan de Zaragoza","None","Trabajo","4",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",473,"2",0,0,0,"12","6"
"359","Fuera CETRAM","male","18-24","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Otro","4",2,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",883,"2",0,0,0,"14","7"
"360","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","3",2,"3","Taxi","Taxi","Van","Azteca","Mexipuerto","15",496,"5",0,0,0,"18","6"
"361","Fuera CETRAM","male","45-64","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","1 to 2","Compra","1",3,"5","Taxi","BRT","Bus","El Rosario","Mexico Nueva","35",513,"6",0,0,0,"17","7"
"364","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Compra","4",3,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",449,"2",0,0,0,"14","7"
"365","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","1 to 2","Estudio","5",5,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",142,"1",0,0,0,"17","7"
"366","Fuera CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",628,"5",0,0,0,"16","5"
"367","Fuera CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",637,"7",0,0,0,"18","2"
"368","Dentro CETRAM","male","18-24","Licenciatura","Atizapan de Zaragoza","Azcapotzalco","None","Recreacion","5",2,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",710,"2",0,0,0,"13","5"
"369","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Estudio","3",3,"5","BRT","Trolebus","Bus","El Rosario","El Rosario","35",207,"1",0,0,0,"19","7"
"370","Dentro CETRAM","male","18-24","Preparatoria","Tecamec","Atizapan de Zaragoza","None","Trabajo","3",1,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"371","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",961,"6",0,0,0,"13","3"
"372","Dentro CETRAM","male","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Recreacion","3",1,"5","Metro","BRT","Van","El Rosario","El Rosario","15",528,"6",0,0,0,"13","7"
"373","Dentro CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Miguel Hidalgo","None","Trabajo","3",3,"5","Metro","BRT","Van","El Rosario","Mexico Nueva","15",524,"6",0,0,0,"13","4"
"374","Fuera CETRAM","male","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","4",4,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",956,"2",0,0,0,"14","5"
"375","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Estudio","5",1,"5","Peseros","Peseros","Bus","El Rosario","Mexico Nueva","35",437,"2",0,0,0,"16","6"
"376","Fuera CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",670,"6",0,0,0,"18","4"
"377","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","4",2,"5","BRT","Taxi","Van","Azteca","Mexipuerto","15",669,"5",0,0,0,"15","4"
"378","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Estudio","3",2,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",430,"3",0,0,0,"17","7"
"379","Fuera CETRAM","male","45-64","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Compra","2",4,"5","BRT","Taxi","Bus","El Rosario","Mexico Nueva","35",64,"1",0,0,0,"16","6"
"380","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Azcapotzalco","None","Recreacion","3",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",86,"1",0,0,0,"14","2"
"381","Fuera CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"14","5"
"382","Fuera CETRAM","male","25-44","Licenciatura","Azcapotzalco","Tlalnepantla de Baz","None","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1049,"7",0,0,0,"17","5"
"383","Dentro CETRAM","male","18-24","Licenciatura","Tecamec","Atizapan de Zaragoza","None","Trabajo","4",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"384","Dentro CETRAM","male","45-64","Licenciatura","Miguel Hidalgo","Tultitlan","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",581,"9",0,0,0,"13","5"
"385","Dentro CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Recreacion","4",4,"4","Taxi","BRT","Van","El Rosario","El Rosario","15",840,"5",0,0,0,"13","7"
"386","Dentro CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",428,"9",0,0,0,"13","2"
"388","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",5,"I","Metro","Taxi","Van","Azteca","Mexipuerto","15",566,"9",0,0,0,"16","6"
"389","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","2",2,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",575,"9",0,0,0,"15","1"
"390","Dentro CETRAM","male","45-64","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","2",3,"5","Metro","Trolebus","Van","El Rosario","El Rosario","15",196,"1",0,0,0,"18","3"
"391","Dentro CETRAM","male","45-64","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","4",1,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",797,"0",0,0,0,"13","4"
"392","Fuera CETRAM","male","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",440,"2",0,0,0,"12","2"
"393","Dentro CETRAM","male","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","3",3,"3","Metro","Peseros","Van","Azteca","Mexipuerto","15",493,"5",0,0,0,"19","4"
"394","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",64,"1",0,0,0,"16","6"
"395","Dentro CETRAM","male","0-17","Secundaria","Cuautitlan Izcalli","Cuauhtemoc","None","Recreacion","3",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",165,"1",0,0,0,"18","3"
"396","Fuera CETRAM","male","45-64","Secundaria","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","Tacuba","35",658,"6",0,0,0,"14","4"
"397","Dentro CETRAM","male","25-44","Licenciatura","Azcapotzalco","Otro","None","Trabajo","2",4,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",177,"1",0,0,0,"18","3"
"398","Fuera CETRAM","male","25-44","Secundaria","Azcapotzalco","Atizapan de Zaragoza","3 to 4","Recreacion","2",4,"4","Metro","Peseros","Bus","El Rosario","El Rosario","35",211,"1",0,0,0,"13","2"
"399","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","4",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",700,"5",0,0,0,"14","6"
"400","Fuera CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","3",4,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1021,"2",0,0,0,"13","6"
"401","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","4",1,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",1056,"0",0,0,0,"13","6"
"402","Dentro CETRAM","male","18-24","Preparatoria","Tecamec","Otro","None","Estudio","3",3,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",981,"2",0,0,0,"14","5"
"403","Fuera CETRAM","male","25-44","Secundaria","Tecamec","Nezahualcoyotl","None","Trabajo","3",1,"5","Taxi","BRT","Van","Azteca","Mexipuerto","15",722,"5",0,0,0,"15","4"
"404","Fuera CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","5",3,"5","Peseros","BRT","Van","Azteca","Mexipuerto","15",800,"6",0,0,0,"14","2"
"405","Fuera CETRAM","male","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","4",4,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",896,"6",0,0,0,"14","4"
"406","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Atizapan de Zaragoza","None","Trabajo","5",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",561,"5",0,0,0,"13","4"
"408","Dentro CETRAM","male","25-44","Preparatoria","Otro","Cuauhtemoc","1 to 2","Recreacion","5",5,"5","Peseros","Metro","Van","El Rosario","El Rosario","15",230,"1",0,0,0,"17","3"
"409","Fuera CETRAM","male","25-44","Secundaria","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","3",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",177,"1",0,0,0,"19","7"
"410","Dentro CETRAM","male","45-64","Preparatoria","Benito Juarez","Naucalpan de Juarez","1 to 2","Recreacion","3",4,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",446,"4",0,0,0,"12","6"
"411","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",2,"5","Metro","BRT","Bus","El Rosario","El Rosario","35",136,"1",0,0,0,"18","7"
"412","Fuera CETRAM","male","18-24","Preparatoria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Otro","1",1,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",64,"1",0,0,0,"17","6"
