"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour_sin","hour_cos","week_day","latitude","longitude"
"855","Fuera CETRAM","female","0-17","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Trabajo","1",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.0825128108513757,"1",14,3,16,-0.965926,0.258819,"1",19.50486,-99.20066
"150","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","1",3,"4","Metro","Taxi","Van","Azteca","Mexipuerto","15",10.932281044723,"2",0,0,0,-0.866025,-0.500000,"1",19.63287,-99.02778
"625","Dentro CETRAM","male","25-44","Secundaria","Tecamec","Ecatepec de Morelos","None","Trabajo","1",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",9.02364854939348,"5",8,3,7,-1.000000,-0.000000,"2",19.6131,-99.04914
"333","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1.24372825809259,"9",0,0,0,-0.500000,-0.866025,"3",19.54208,-99.03627
"209","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Azcapotzalco","3 to 4","Estudio","2",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.0977831141969529,"1",0,0,0,-0.500000,-0.866025,"2",19.5051,-99.20065
"920","Fuera CETRAM","male","18-24","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Otro","4",4,"5","BRT","Taxi","Bus","El Rosario","El Rosario","35",0.486782261690335,"3",19,8,21,-0.500000,-0.866025,"3",19.50328,-99.20444
"78","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",11.510595581999,"2",0,0,0,-0.965926,-0.258819,"6",19.63757,-99.03829
"579","Fuera CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Coacalco de Berriozal","None","Trabajo","1",2,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",2.61855140832911,"7",9,6,6,-0.866025,-0.500000,"5",19.54909,-99.04715
"789","Dentro CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","2",3,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.473956351678455,"3",3,0,12,-0.500000,-0.866025,"7",19.50155,-99.20325
"500","Dentro CETRAM","female","25-44","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",4,"5","BRT","Metro","Van","Azteca","Heroes Tecamec","15",0.294005856304985,"2",11,6,4,-0.258819,-0.965926,"2",19.53655,-99.02565
"398","Fuera CETRAM","male","25-44","Secundaria","Azcapotzalco","Atizapan de Zaragoza","3 to 4","Recreacion","2",4,"4","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.094421271099565,"1",0,0,0,-0.258819,-0.965926,"2",19.50501,-99.20069
"335","Fuera CETRAM","male","25-44","Secundaria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Otro","3",5,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",1.88813757307313,"6",0,0,0,-0.965926,-0.258819,"6",19.52044,-99.20616
"154","Fuera CETRAM","female","45-64","Licenciatura","Alvaro Obregon","Tlalnepantla de Baz","Mas","Compra","5",1,"5","Trolebus","Taxi","Bus","El Rosario","Mexico Nueva","35",0.0747537085153271,"1",0,0,0,-0.866025,-0.500000,"6",19.50485,-99.20058
"112","Dentro CETRAM","female","25-44","Licenciatura","Azcapotzalco","Cuauhtemoc","1 to 2","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.149294550029473,"2",0,0,0,-0.500000,-0.866025,"1",19.50455,-99.2014
"881","Fuera CETRAM","male","45-64","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","None","Compra","2",3,"5","Metro","BRT","Bus","El Rosario","Mexico Nueva","35",2.65400028719478,"2",17,8,18,-0.965926,-0.258819,"7",19.52634,-99.21017
"132","Dentro CETRAM","female","25-44","Preparatoria","Atizapan de Zaragoza","Chalco","1 to 2","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",3.45741391182268,"2",0,0,0,-1.000000,-0.000000,"7",19.52533,-99.22446
"313","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","3",5,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",0.427302053728633,"2",0,0,0,-0.258819,-0.965926,"6",19.53547,-99.02353
"348","Dentro CETRAM","male","25-44","Preparatoria","Zumpango","Azcapotzalco","None","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.158965195313166,"2",0,0,0,-0.707107,-0.707107,"1",19.50459,-99.20149
"372","Dentro CETRAM","male","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Recreacion","3",1,"5","Metro","BRT","Van","El Rosario","El Rosario","15",1.77354444262084,"6",0,0,0,-0.258819,-0.965926,"7",19.51557,-99.21215
"760","Fuera CETRAM","female","25-44","Preparatoria","Azcapotzalco","Tlalnepantla de Baz","None","Otro","3",5,"5","Peseros","Trolebus","Bus","El Rosario","Mexico Nueva","35",0.346931213563102,"3",28,6,12,-0.258819,-0.965926,"3",19.50338,-99.20307
"817","Dentro CETRAM","female","25-44","Licenciatura","Atizapan de Zaragoza","Azcapotzalco","None","Estudio","3",5,"4","Metro","Trolebus","Van","El Rosario","El Rosario","15",3.50543765701463,"6",2,1,13,-0.500000,-0.866025,"2",19.52615,-99.22428
"866","Fuera CETRAM","male","25-44","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Estudio","4",3,"4","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",1.9966473334271,"6",18,8,17,-0.258819,-0.965926,"6",19.52001,-99.20956
"633","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","2",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",8.7046237761006,"2",8,3,7,-1.000000,-0.000000,"2",19.60823,-99.05557
"118","Fuera CETRAM","female","65+","Primaria","Cuauhtemoc","Atizapan de Zaragoza","None","Compra","1",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",4.78147758003086,"2",0,0,0,-0.965926,-0.258819,"7",19.53885,-99.22741
"312","Dentro CETRAM","male","0-17","Secundaria","Tecamec","Ecatepec de Morelos","None","Otro","2",2,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",21.2102825961171,"0",0,0,0,-1.000000,-0.000000,"6",19.44199,-99.20441
"295","Fuera CETRAM","male","25-44","Preparatoria","Benito Juarez","Atizapan de Zaragoza","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",19.0346079089692,"2",0,0,0,-0.866025,-0.500000,"5",19.51029,-99.20728
"498","Dentro CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","3",4,"5","Taxi","Metro","Van","El Rosario","Mexico Nueva","15",0.102159713530856,"1",11,5,4,-0.258819,-0.965926,"2",19.50488,-99.20086
"479","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Compra","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.466682939151214,"9",12,4,3,0.000000,-1.000000,"7",19.53825,-99.0296
"968","Fuera CETRAM","male","25-44","Primaria","Azcapotzalco","Tlalnepantla de Baz","1 to 2","Trabajo","4",3,"5","BRT","Taxi","Bus","El Rosario","Mexico Nueva","35",1.4934044288991,"2",16,0,29,-0.258819,-0.965926,"4",19.51468,-99.20926
"768","Fuera CETRAM","male","45-64","Licenciatura","Azcapotzalco","Tlalnepantla de Baz","None","Compra","3",5,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",0.346931213563102,"3",28,6,12,-0.258819,-0.965926,"3",19.50338,-99.20307
"596","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",7.51112722824557,"2",9,4,6,-0.707107,-0.707107,"1",19.5999,-99.04565
"49","Fuera CETRAM","female","0-17","Preparatoria","Azcapotzalco","Tlalnepantla de Baz","None","Estudio","2",4,"5","Metro","BRT","Bus","El Rosario","Mexico Nueva","35",0.139726812890202,"2",0,0,0,-0.866025,-0.500000,"6",19.50492,-99.20123
"546","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",2,"5","Taxi","BRT","Van","El Rosario","El Rosario","15",3.95158322114768,"2",10,4,5,-0.258819,-0.965926,"5",19.53124,-99.2248
"32","Dentro CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","1",5,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",10.5734040352086,"2",0,0,0,-0.500000,-0.866025,"1",19.62944,-99.0209
"127","Fuera CETRAM","female","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","None","Trabajo","5",5,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",0.0924560228827027,"1",0,0,0,-0.965926,0.258819,"7",19.50505,-99.20063
"226","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","Mas","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",4.81506398627113,"2",0,0,0,-1.000000,-0.000000,"2",19.57592,-99.04108
"39","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Trabajo","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",3.12896210393626,"5",15,7,0,-0.258819,-0.965926,"6",19.55068,-99.05196
"600","Dentro CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Cuautitlan Izcalli","None","Trabajo","4",3,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",3.91904011717541,"2",9,3,6,-0.965926,-0.258819,"6",19.5309,-99.22474
"910","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Azcapotzalco","1 to 2","Otro","1",5,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",1.72605737732479,"6",15,4,20,-0.707107,-0.707107,"6",19.51355,-99.21335
"506","Fuera CETRAM","female","45-64","Licenciatura","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Otro","3",1,"5","Taxi","BRT","Van","El Rosario","El Rosario","15",5.83695901472938,"6",11,4,4,-0.258819,-0.965926,"5",19.54496,-99.23545
"325","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","3",2,"4","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",1.59590312046513,"9",0,0,0,-0.866025,-0.500000,"5",19.54432,-99.03865
"932","Fuera CETRAM","male","45-64","Primaria","Cuauhtemoc","Tlalnepantla de Baz","None","Trabajo","4",3,"5","Metro","Taxi","Bus","El Rosario","Mexico Nueva","35",1.9966473334271,"6",13,6,22,-0.258819,-0.965926,"6",19.52001,-99.20956
"796","Dentro CETRAM","male","65+","Preparatoria","Tecamec","Tecamec","None","Compra","5",5,"5","BRT","Metro","Van","Azteca","Mexipuerto","15",10.0716458454815,"2",3,1,12,-0.707107,-0.707107,"4",19.62427,-99.01427
"48","Dentro CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","None","Trabajo","5",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",10.9149084296277,"2",0,0,0,-0.258819,-0.965926,"5",19.63266,-99.02403
"508","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Tecamec","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.286928407849561,"9",11,7,4,-0.707107,-0.707107,"1",19.53713,-99.02765
"907","Fuera CETRAM","female","0-17","Preparatoria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Estudio","3",3,"5","Metro","Taxi","Bus","El Rosario","Mexico Nueva","35",3.52006914534708,"6",20,7,20,0.000000,-1.000000,"2",19.52146,-99.22833
"938","Dentro CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Chalco","1 to 2","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",3.91784929875509,"2",11,4,24,-1.000000,-0.000000,"7",19.53076,-99.22489
"68","Fuera CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Bus","El Rosario","Tacuba","35",5.30976855293517,"2",0,0,0,-0.500000,-0.866025,"4",19.53876,-99.23526
"795","Dentro CETRAM","male","0-17","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Recreacion","4",5,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",9.38772155783134,"9",3,0,12,-0.866025,0.500000,"7",19.56567,-99.26171
"27","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","Metro","BRT","Van","Azteca","Mexipuerto","15",8.50749632525576,"6",0,0,0,-1.000000,-0.000000,"4",19.61043,-99.03792
"530","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","3",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",0.285240297271963,"2",11,6,4,-0.866025,-0.500000,"7",19.5364,-99.0256
"779","Fuera CETRAM","female","25-44","Secundaria","Chimalhuacan","Atizapan de Zaragoza","1 to 2","Compra","4",4,"5","Taxi","Trolebus","Van","Azteca","Mexipuerto","15",5.93855239853809,"0",8,3,12,0.866025,0.500000,"4",19.48378,-99.04506
"871","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Iztapalapa","None","Trabajo","3",4,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",1.28359488485228,"2",13,4,17,-0.965926,-0.258819,"2",19.50273,-99.21208
"61","Fuera CETRAM","female","0-17","Secundaria","Coacalco de Berriozal","Ecatepec de Morelos","1 to 2","Otro","1",1,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",13.9700307297137,"2",0,0,0,-0.965926,-0.258819,"5",19.63771,-99.10361
"690","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","4",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",3.82032227627169,"5",6,3,9,0.000000,-1.000000,"5",19.56407,-99.04615
"392","Fuera CETRAM","male","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",0.648393531507961,"2",0,0,0,0.000000,-1.000000,"2",19.50708,-99.20552
"602","Fuera CETRAM","male","45-64","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","2",3,"4","BRT","Taxi","Van","Azteca","Mexipuerto","15",9.85555043681091,"2",9,4,6,-0.500000,-0.866025,"6",19.62312,-99.02383
"380","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Azcapotzalco","None","Recreacion","3",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.0825128108513757,"1",0,0,0,-0.500000,-0.866025,"2",19.50486,-99.20066
"34","Dentro CETRAM","female","25-44","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",4,"5","BRT","Metro","Van","Azteca","Heroes Tecamec","15",8.51094349782945,"6",15,9,0,-0.965926,-0.258819,"3",19.61034,-99.03887
"507","Dentro CETRAM","female","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","5",4,"5","Peseros","Metro","Van","Azteca","Heroes Tecamec","15",2.32832051416706,"9",11,6,4,-0.866025,-0.500000,"7",19.54829,-99.04426
"615","Fuera CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","3",3,"5","BRT","Trolebus","Van","Azteca","Heroes Tecamec","15",8.9453631567576,"5",8,5,7,-0.965926,-0.258819,"6",19.61325,-99.04521
"180","Dentro CETRAM","female","25-44","Secundaria","Alvaro Obregon","Cuajimalpa de Morelos","3 to 4","Recreacion","1",5,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",0.0939764027891614,"1",0,0,0,-0.965926,-0.258819,"3",19.50508,-99.20062
"901","Fuera CETRAM","female","25-44","Sin estudios","Azcapotzalco","Otro","1 to 2","Trabajo","2",1,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",0.0993683294324635,"1",16,0,19,-0.866025,-0.500000,"3",19.50521,-99.20054
"523","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","3",3,"3","Taxi","Peseros","Van","Azteca","Mexipuerto","15",28.0421173695915,"0",11,0,4,-0.965926,-0.258819,"6",19.33167,-99.18633
"467","Dentro CETRAM","female","25-44","Primaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",7.6415530316278,"2",12,0,3,-0.965926,0.258819,"7",19.54297,-99.26039
"54","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",4,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",3.04131765461476,"2",0,0,0,-1.000000,-0.000000,"4",19.52501,-99.18079
"585","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Otro","3",3,"3","Peseros","BRT","Van","Azteca","Mexipuerto","15",9.71507958812951,"2",9,5,6,-0.500000,-0.866025,"6",19.62189,-99.02491
"836","Fuera CETRAM","female","25-44","Preparatoria","Azcapotzalco","Nicolas Romero","None","Trabajo","3",3,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",1.78900005845507,"6",16,9,14,-0.866025,-0.500000,"4",19.51463,-99.21323
"837","Fuera CETRAM","male","18-24","Primaria","Ixtapaluca","Atizapan de Zaragoza","1 to 2","Trabajo","4",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",8.55309255516609,"5",16,8,14,-0.500000,-0.866025,"7",19.55451,-99.26198
"478","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","5",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",3.29282351469215,"5",12,5,3,-0.258819,-0.965926,"1",19.55434,-99.05087
"297","Fuera CETRAM","male","45-64","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","1",1,"5","Taxi","Trolebus","Van","El Rosario","El Rosario","15",8.57373715279821,"5",0,0,0,-0.258819,-0.965926,"4",19.55422,-99.2625
"978","Fuera CETRAM","male","45-64","Secundaria","Atizapan de Zaragoza","Gustavo A. Madero","None","Trabajo","4",4,"5","BRT","Taxi","Bus","El Rosario","Mexico Nueva","35",8.57758387327775,"5",3,0,32,-0.500000,-0.866025,"6",19.55739,-99.25955
"742","Dentro CETRAM","female","18-24","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Compra","1",3,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",8.63297858280407,"5",4,5,11,-0.500000,-0.866025,"2",19.55367,-99.26372
"632","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",7.16169685154008,"2",8,3,7,-1.000000,-0.000000,"2",19.59662,-99.04575
"262","Dentro CETRAM","male","25-44","Licenciatura","Naucalpan de Juarez","Atizapan de Zaragoza","None","Estudio","2",3,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",0.102159713530856,"1",0,0,0,-0.866025,-0.500000,"3",19.50488,-99.20086
"776","Fuera CETRAM","male","25-44","Secundaria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Trabajo","3",4,"4","Trolebus","Peseros","Bus","El Rosario","Mexico Nueva","35",6.28571978848234,"6",18,7,12,-0.866025,-0.500000,"2",19.54834,-99.23783
"37","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",1,"4","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",3.29282351469215,"5",15,8,0,-0.258819,-0.965926,"1",19.55434,-99.05087
"592","Dentro CETRAM","male","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Otro","5",4,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",6.95317995097332,"0",9,0,6,-1.000000,-0.000000,"7",19.4421,-99.20442
"189","Dentro CETRAM","female","65+","Preparatoria","Benito Juarez","Tlalnepantla de Baz","1 to 2","Recreacion","5",5,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",0.0973102562865368,"1",0,0,0,-0.500000,-0.866025,"1",19.50504,-99.2007
"449","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Estudio","3",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",4.9227325721652,"2",28,14,2,-0.965926,-0.258819,"4",19.5393,-99.229
"736","Dentro CETRAM","female","45-64","Licenciatura","Coacalco de Berriozal","Ecatepec de Morelos","None","Trabajo","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",3.07489842879667,"5",4,3,11,-0.707107,-0.707107,"6",19.5488,-99.05264
"577","Dentro CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","2",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",7.07585437791925,"2",9,4,6,-1.000000,-0.000000,"2",19.59649,-99.04299
"714","Dentro CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Recreacion","5",4,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",10.9579753473205,"2",5,3,10,-0.258819,-0.965926,"1",19.63255,-99.01644
"574","Dentro CETRAM","female","18-24","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",6.95317995097332,"0",9,0,6,-0.965926,0.258819,"7",19.4421,-99.20442
"909","Fuera CETRAM","male","18-24","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","4",1,"5","Taxi","Metro","Bus","El Rosario","Mexico Nueva","35",0.0993683294324635,"1",20,7,20,-0.258819,-0.965926,"2",19.50521,-99.20054
"402","Dentro CETRAM","male","18-24","Preparatoria","Tecamec","Otro","None","Estudio","3",3,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",10.3343566590457,"2",0,0,0,-0.500000,-0.866025,"5",19.62734,-99.02183
"338","Fuera CETRAM","male","45-64","Secundaria","Nicolas Romero","Otro","None","Trabajo","3",3,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",4.65918750857506,"6",0,0,0,-1.000000,-0.000000,"4",19.53906,-99.2251
"824","Dentro CETRAM","female","0-17","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Estudio","4",4,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",8.77797864468969,"2",2,0,13,-0.258819,-0.965926,"4",19.56243,-99.25687
"822","Dentro CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","3 to 4","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",10.2810397483254,"6",2,1,13,-0.965926,-0.258819,"2",19.62695,-99.02385
"705","Dentro CETRAM","female","45-64","Preparatoria","Iztapalapa","Atizapan de Zaragoza","None","Trabajo","4",4,"5","Trolebus","Peseros","Van","El Rosario","El Rosario","15",3.89437087910214,"2",10,4,10,-0.866025,-0.500000,"5",19.53062,-99.22472
"814","Fuera CETRAM","male","0-17","Secundaria","Tlalnepantla de Baz","Nicolas Romero","None","Recreacion","3",2,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",2.52366136795619,"2",17,4,13,-1.000000,-0.000000,"1",19.52219,-99.21505
"623","Fuera CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","3",2,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",9.02501166064668,"5",8,5,7,-0.965926,-0.258819,"6",19.61312,-99.04911
"819","Dentro CETRAM","female","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","None","Estudio","4",5,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",10.0716458454815,"2",2,1,13,-0.707107,-0.707107,"4",19.62427,-99.01427
"204","Dentro CETRAM","female","18-24","Preparatoria","Cuautitlan Izcalli","Azcapotzalco","1 to 2","Trabajo","5",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.0880659286280975,"1",0,0,0,-1.000000,-0.000000,"3",19.50491,-99.20069
"480","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Tecamec","None","Trabajo","3",2,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",10.8451671000035,"6",12,4,3,-0.258819,-0.965926,"3",19.62958,-99.05081
"661","Fuera CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","5",5,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",21.2102825961171,"0",7,2,8,-0.500000,-0.866025,"7",19.44199,-99.20441
"697","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",0.0737684073138101,"2",6,1,9,-0.500000,-0.866025,"3",19.53514,-99.02782
"477","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Otro","4",2,"3","BRT","Metro","Van","Azteca","Heroes Tecamec","15",2.15162093771925,"9",12,4,3,0.000000,-1.000000,"7",19.54708,-99.04314
"847","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tlalnepantla de Baz","None","Trabajo","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.241493412818396,"1",5,3,15,-0.866025,-0.500000,"5",19.50664,-99.20031
"191","Fuera CETRAM","female","25-44","Licenciatura","Gustavo A. Madero","Azcapotzalco","3 to 4","Estudio","1",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.0932697110408742,"1",0,0,0,-0.500000,-0.866025,"2",19.50498,-99.2007
"900","Fuera CETRAM","female","25-44","Secundaria","Azcapotzalco","Nicolas Romero","None","Trabajo","1",1,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",0.0993683294324635,"1",16,0,19,-0.866025,-0.500000,"3",19.50521,-99.20054
"877","Fuera CETRAM","female","0-17","Primaria","Atizapan de Zaragoza","Tlalnepantla de Baz","1 to 2","Recreacion","2",4,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",3.50543765701463,"6",17,5,18,-1.000000,-0.000000,"2",19.52615,-99.22428
"63","Fuera CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.292563609689105,"2",0,0,0,0.000000,-1.000000,"6",19.53638,-99.02548
